"MARKETCAP","NAME","TICKER"
"745713540","AngioDynamics Inc","ANGO"
"455834300","Anworth Mortgage Asset Corp","ANH"
"455834300","Anworth Mortgage Asset Corp","ANHpA"
"455834300","Anworth Mortgage Asset Corp","ANHpB"
"455834300","Anworth Mortgage Asset Corp","ANHpC"
"607637100","Anika Therapeutics Inc","ANIK"
"640732150","ANI Pharmaceuticals Inc","ANIP"
"90768000","ITUS Corp","ANIX"
"13404993836","ANSYS Inc","ANSS"
"70736341000","Anthem Inc","ANTM"
"4254080","Sphere 3D Corp","ANY"
"787161230","American Outdoor Brands Corp","AOBC"
"37570164000","Aon PLC","AON"
"8294872267","A. O. Smith Corp","AOS"
"243968080","Alpha and Omega Semiconductor Ltd","AOSL"
"58792934","Ampco-Pittsburgh Corp","AP"
"17910200000","Apache Corp","APA"
"1818377000","Artisan Partners Asset Management Inc","APAM"
"34481400000","Anadarko Petroleum Corp","APC"
"35562691000","Air Products and Chemicals Inc","APD"
"40749000","Applied DNA Sciences Inc","APDN"
"40749000","Applied DNA Sciences Inc","APDNW"
"502455375","American Public Education Inc","APEI"
"118260000","Apollo Endosurgery Inc","APEN"
"27145896750","Amphenol Corp","APH"
"50877492","AmpliPhi Biosciences Corp","APHB"
"3956238000","Apple Hospitality REIT Inc","APLE"
"828828000","Apellis Pharmaceuticals Inc","APLS"
"6368575102","Apollo Global Management LLC","APO"
"1129484200","Apogee Enterprises Inc","APOG"
"6368575102","Apollo Global Management LLC","APOpA"
"6368575102","Apollo Global Management LLC","APOpB"
"2244159040","AppFolio Inc","APPF"
"1476216000","Appian Corp","APPN"
"99497500","Digital Turbine Inc","APPS"
"6796680","Apricus Biosciences Inc","APRI"
"255412269","Blue Apron Holdings Inc","APRN"
"48882652","Alpha Pro Tech Ltd","APT"
"1314621000","Apptio Inc","APTI"
"678175260","Preferred Apartment Communities Inc","APTS"
"19985334400","Aptiv PLC","APTV"
"3764944530","Amerigas Partners LP","APU"
"98297810","Aptevo Therapeutics Inc","APVO"
"474963000","Aquantia Corp","AQ"
"37800000","AquaBounty Technologies Inc","AQB"
"73293500","Aqua Metals Inc","AQMS"
"62715653","Aquinox Pharmaceuticals Inc","AQXP"
"6114775680","Antero Resources Corp","AR"
"642166698","American Renal Associates Holdings Inc","ARA"
"342445460","Accuray Inc","ARAY"
"121443300","ARC Document Solutions Inc","ARC"
"1088807608","ArcBest Corp","ARCB"
"1900812960","Arch Coal Inc","ARCH"
"5442500","Appliance Recycling Centers of America Inc","ARCI"
"37000000","ARC Group Worldwide Inc","ARCW"
"19818299","Aradigm Corp","ARDM"
"203373000","Ardelyx Inc","ARDX"
"12755501200","Alexandria Real Estate Equities Inc","ARE"
"12755501200","Alexandria Real Estate Equities Inc","AREpD"
"2061723410","Ares Management LP","ARES"
"2061723410","Ares Management LP","ARESpA"
"200277748","Approach Resources Inc","AREX"
"2130058322","Argo Group International Holdings Ltd","ARGO"
"2332437668","Apollo Commercial Real Estate Finance Inc","ARI"
"871872000","American Railcar Industries Inc","ARII"
"2332437668","Apollo Commercial Real Estate Finance Inc","ARIpC"
"82723500","Ark Restaurants Corp","ARKR"
"264751608","American Realty Investors Inc","ARL"
"2674854422","Alliance Resource Partners LP","ARLP"
"1668923","Aralez Pharmaceuticals Inc","ARLZ"
"10197689930","Aramark","ARMK"
"1908060000","Arena Pharmaceuticals Inc","ARNA"
"10951130000","Arconic Inc","ARNC"
"10951130000","Arconic Inc","ARNCp"
"1299504330","Archrock Inc","AROC"
"526384884","Arrow Financial Corp","AROW"
"409165240","ArQule Inc","ARQL"
"926348280","ARMOUR Residential REIT Inc","ARR"
"926348280","ARMOUR Residential REIT Inc","ARRpA"
"926348280","ARMOUR Residential REIT Inc","ARRpB"
"4344654600","Arris International PLC","ARRS"
"2571437950","Array Biopharma Inc","ARRY"
"334176280","Artesian Resources Corp","ARTNA"
"9844629","Art's Way Manufacturing Co Inc","ARTW"
"79957084","Arotech Corp","ARTX"
"6106349760","Arrow Electronics Inc","ARW"
"1094154000","Arrowhead Pharmaceuticals Inc","ARWR"
"4058585505","Associated Banc-Corp","ASB"
"4058585505","Associated Banc-Corp","ASBpC"
"4058585505","Associated Banc-Corp","ASBpD"
"16605000","Ascent Capital Group Inc","ASCMA"
"27172374","Asta Funding Inc","ASFI"
"3567042900","On Assignment Inc","ASGN"
"4782060000","Ashland Global Holdings Inc","ASH"
"995504342","AdvanSix Inc","ASIX"
"511910000","Assembly Biosciences Inc","ASMB"
"834960000","Ascena Retail Group Inc","ASNA"
"25422540","Arsanis Inc","ASNS"
"100800000","Aspen Aerogels Inc","ASPN"
"529224705","Altisource Portfolio Solutions SA","ASPS"
"120714500","Aspen Group Inc","ASPU"
"353638019","Depomed Inc","ASRT"
"77367100","Ameriserv Financial Inc","ASRV"
"77367100","Ameriserv Financial Inc","ASRVP"
"62292000","Asterias Biotherapeutics Inc","AST"
"10791610","Astrotech Corp","ASTC"
"1151896950","Astec Industries Inc","ASTE"
"139741200","Asure Software Inc","ASUR"
"48132700","ASV Holdings Inc","ASV"
"71531340","Amtech Systems Inc","ASYS"
"241660000","Atlantic Power Corp","AT"
"351787400","America First Multifamily Investors LP","ATAX"
"100388500","Alphatec Holdings Inc","ATEC"
"428840000","A10 Networks Inc","ATEN"
"2910225700","Adtalem Global Education Inc","ATGE"
"5012556000","athenahealth Inc","ATHN"
"287809375","Athersys Inc","ATHX"
"3897600000","Allegheny Technologies Inc","ATI"
"10378270","Meridian Waste Solutions Inc","ATIS"
"10378270","Meridian Waste Solutions Inc","ATISW"
"1231302000","Atkore International Group Inc","ATKR"
"49302400","Atlanticus Holdings Corp","ATLC"
"265644000","Ames National Corp","ATLO"
"1164407300","ATN International Inc","ATNI"
"93632000","Actinium Pharmaceuticals Inc","ATNM"
"865278000","Athenex Inc","ATNX"
"10714120000","Atmos Energy Corp","ATO"
"70448000","Atomera Inc","ATOM"
"4953800","Atossa Genetics Inc","ATOS"
"6634803500","Aptargroup Inc","ATR"
"1575288000","Atara Biotherapeutics Inc","ATRA"
"1030900000","AtriCure Inc","ATRC"
"1268331000","Atrion Corp","ATRI"
"508054910","Antares Pharma Inc","ATRS"
"1462968200","Air Transport Services Group Inc","ATSG"
"1549804320","Actuant Corp","ATU"
"13503438000","Altice USA Inc","ATUS"
"56749000000","Activision Blizzard Inc","ATVI"
"21733000","Avenue Therapeutics Inc","ATXI"
"147815000","Auburn National Bancorporation Inc","AUBN"
"17398550","Golden Minerals Co","AUMN"
"33464331","AutoWeb, Inc.","AUTO"
"3363813340","Avista Corp","AVA"
"2270908864","AeroVironment Inc","AVAV"
"24699557664","AvalonBay Communities Inc","AVB"
"526513600","American Vanguard Corp","AVD"
"168048040","Avadel Pharmaceuticals PLC","AVDL"
"98889510000","Broadcom Ltd","AVGO"
"7854000","Avinger Inc","AVGR"
"454832000","AV Homes Inc","AVHI"
"235590355","Avid Technology Inc","AVID"
"2906541000","Halyard Health Inc","AVNS"
"91650810","Aviat Networks Inc","AVNW"
"768106500","Avon Products Inc","AVP"
"4783769555","Avnet Inc","AVT"
"2754113200","AVX Corp","AVX"
"116375000","Anavex Life Sciences Corp","AVXL"
"8988110000","Avery Dennison Corp","AVY"
