ticker,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
ALE,,630569947.0,743004018.0,949009212.0,1155389220.0,1253667402.0,1678232249.0,2090346998.0,2251076663.0,3014630085.0,3707283996.0,3864560000.0
ALEX,,,,,,1095798434.0,1638574402.0,1685149570.0,1067327089.0,1359051498.0,1470220000.0,1444192500.0
ALG,,,167118670.0,314594961.0,309390860.0,380852037.0,722236231.0,571524833.0,589930846.0,873268316.0,1314415872.0,1020210840.0
ALGN,,595560000.0,1231255080.0,1525683200.0,1904975150.0,2304360000.0,4719135460.0,4600442530.0,5368157850.0,7833056920.0,18182252080.0,26506589850.0
ALGT,,,827624151.0,849488521.0,895271161.0,1275738639.0,1850115442.0,2505419655.0,2708664642.0,2653612268.0,2456670521.0,1920814425.0
ALIM,,,,230102522.0,39203218.0,49395528.0,148423899.0,223800621.0,107569523.0,56916000.0,88711000.0,64365500.0
ALJJ,,,,,,,,,,156775680.0,118367550.0,60483995.0
ALK,,987494859.0,1160695461.0,1937185989.0,2560711210.0,2873375256.0,4863100644.0,7720445216.0,9947436389.0,10708901287.0,8967191044.0,7758451800.0
ALKS,,,,1164622920.0,1659789600.0,2546444440.0,5855527920.0,8507245440.0,11859372000.0,8392580000.0,8390109000.0,6698940000.0
ALL,23911925418.0,14362393351.0,13449177247.0,14706587921.0,12556948405.0,17779015967.0,23502393429.0,28736233876.0,24018956905.0,27113018556.0,37959479745.0,33323535000.0
ALLE,,,,,,,4095426627.0,5176082393.0,6179783179.0,6037275075.0,7510299433.0,7999808000.0
ALLpA,23911925418.0,14362393351.0,13449177247.0,14706587921.0,12556948405.0,17779015967.0,23502393429.0,28736233876.0,24018956905.0,27113018556.0,37959479745.0,33323535000.0
ALLpD,23911925418.0,14362393351.0,13449177247.0,14706587921.0,12556948405.0,17779015967.0,23502393429.0,28736233876.0,24018956905.0,27113018556.0,37959479745.0,33323535000.0
ALLpE,23911925418.0,14362393351.0,13449177247.0,14706587921.0,12556948405.0,17779015967.0,23502393429.0,28736233876.0,24018956905.0,27113018556.0,37959479745.0,33323535000.0
ALLpF,23911925418.0,14362393351.0,13449177247.0,14706587921.0,12556948405.0,17779015967.0,23502393429.0,28736233876.0,24018956905.0,27113018556.0,37959479745.0,33323535000.0
ALLpG,23911925418.0,14362393351.0,13449177247.0,14706587921.0,12556948405.0,17779015967.0,23502393429.0,28736233876.0,24018956905.0,27113018556.0,37959479745.0,33323535000.0
ALLY,,,,,,,,14238055812.0,,8855458181.0,13034140623.0,11351354080.0
ALNA,,,,,,,,,,,45270000.0,227012000.0
ALNY,,1015834210.0,733573460.0,414514400.0,345641500.0,917719500.0,3957729300.0,7204966000.0,7917174000.0,3204864000.0,11510730000.0,8189495000.0
ALOT,,,,,48385380.0,67159076.0,95121528.0,121908815.0,102596170.0,104881890.0,93417163.0,144553988.0
ALPN,,,,,,,,,61920000.0,21504000.0,72800000.0,70959500.0
